order_id,order_datetime,city,zone,restaurant,cuisine,items_count,order_value_egp,discount_egp,payment_method,courier_id,vehicle_type,distance_km,prep_minutes,promised_minutes,actual_minutes,customer_rating,customer_id,order_status,courier_notes,reordered_within_30d
ORD02554,4/26/2025 19:29,Minya,Abu Helal,Om Ali House,Desserts,5,278,0,Cash,C011,Bicycle,2.4,12,25,32,3,U0568,Delivered,,1
ORD02798,2/28/2025 19:49,El-Minya,Corniche El-Nil,Foul El-Mahatta,Egyptian,1,EGP 71,0,Cash,C061,Motorcycle,4,6,30,,,U1191,Cancelled,,
ORD00554,27/03/2025 22:30,New Minya,New Minya,Hadouta Masreya,Egyptian,2,134 EGP,0,Cash,C013,Motorcycle,12.1,17,45,45,5,U0014,Delivered,,1
ORD01267,6/9/2025 16:09,Minya,Nazlet Hussein,Tamara Sweets,Desserts,5,165,0,Card,C084,Motorcycle,5.5,4,30,11,4,U1142,Delivered,,1
ORD04066,2/17/2025 23:30,Minya ,Wast El-Balad,Forno Nile,Pizza,1,124,0,Cash,C083,Motorcycle,0.6,31,20,-6,3,U0036,Delivered,,0
ORD02671,3/15/2025 14:55,Minya,Ard Sultan,Basbousa Bar,Desserts,2,90,0,Card,C082,Bicycle,5.5,10,30,32,5,U0083,Delivered,,0
ORD01126,6/10/2025 13:57,Menia,El-Gamaa,Crispy House,Burgers,2,EGP 168,0,Cash,C089,Motorcycle,3.5,15,30,34,4,U0273,Delivered,address unclear,1
ORD03644,3/5/2025 16:19,Minya,Ard Sultan,Koshary El-Sheikh,Egyptian,6,283 EGP,0,Cash,C041,Motorcycle,4.2,4,30,14,,U1416,Delivered,,0
ORD03547,3/20/2025 23:59,El Minya,Corniche El-Nil,El-Dawar,Egyptian,3,119 EGP,0,Cash,C006,Tuk-tuk,2.5,14,25,25,5,U0808,Delivered,,1
ORD00688,3/10/2025 21:02,Abu Qurqas,Abu Qurqas,Farag Kebab,Grills,4,434 EGP,103,Wallet,C060,Motorcycle,18.2,22,60,71,5,U0685,Delivered,,1
ORD00766,3/21/2025 22:26,New Minya,New Minya,El-Nil Fish,Fish,5,459 EGP,92,Cash,C043,Motorcycle,10.6,20,45,38,5,U0295,Delivered,,1
ORD00404,1/26/2025 21:40,New Minya,New Minya,Tamara Sweets,Desserts,5,EGP 267,0,Cash,C099,Bicycle,12.3,7,45,100,2,U0796,Delivered,,0
ORD03395,24/04/2025 13:50,NEW MINYA,New Minya,Crispy House,Burgers,2,101,0,Cash,C049,Motorcycle,11.1,13,45,42,5,U0435,Delivered,,1
ORD01994,3/17/2025 19:50,Minya,Corniche El-Nil,El-Nil Fish,Fish,3,EGP 335,81,Card,C016,Motorcycle,2.4,23,25,31,4,U0359,Delivered,,0
ORD00287,5/29/2025 17:16,Minya,Wast El-Balad,El-Nil Fish,Fish,5,688 EGP,0,Cash,C049,Bicycle,0.6,26,20,30,,U0536,Delivered,,1
ORD02848,5/17/2025 19:06,minya,Wast El-Balad,El-Dawar,Egyptian,5,194 EGP,0,Wallet,C001,Motorcycle,1.4,14,25,32,5,U1200,Delivered,,1
ORD03606,10/6/2025 20:13,Minya,Ard Sultan,Farag Kebab,Grills,6,EGP 772,0,Cash,C040,Bicycle,2.5,21,25,50,2,U0833,Delivered,,0
ORD03669,1/27/2025 19:59,Minya,El-Sahel,Basbousa Bar,Desserts,4,216 EGP,0,Card,C077,Motorcycle,4.7,12,30,36,,U0192,Delivered,,1
ORD01721,2/22/2025 20:22,Minya,El-Gamaa,Koshary El-Sheikh,Egyptian,3,127,0,Wallet,C010,Tuk-tuk,3.8,6,30,29,4,U1389,Delivered,,1
ORD03186,5/31/2025 23:37,MINYA,El-Gamaa,Basbousa Bar,Desserts,2,154 EGP,0,Card,C033,Motorcycle,7.2,14,35,34,5,U0612,Delivered,,1
ORD03406,1/25/2025 12:24,Minya,El-Sahel,Tamara Sweets,Desserts,1,54,11,Cash,C056,Motorcycle,4.9,6,30,24,4,U0543,Delivered,,0
ORD01369,5/3/2025 11:36,Minya,Abu Helal,Pizza Roma,Pizza,2,264 EGP,0,Cash,C074,Motorcycle,1.4,20,25,24,5,U0811,Delivered,,0
ORD01532,5/2/2025 22:35,New Minya,New Minya,El-Dawar,Egyptian,4,180,0,Cash,C039,Tuk-tuk,8.5,16,40,48,4,U0315,Delivered,,1
ORD03268,3/29/2025 21:48,New Minya,New Minya,Forno Nile,Pizza,5,EGP 524,0,Card,C055,Motorcycle,9.9,33,40,61,3,U1156,Delivered,,0
ORD03180,6/29/2025 17:28,Menia,El-Mahatta,Bahary Corner,Fish,6,"1,255 EGP",0,Cash,C073,Motorcycle,2.9,37,25,47,,U0752,Delivered,,1
ORD01664,5/28/2025 18:40,Minya,Corniche El-Nil,Bahary Corner,Fish,1,224 EGP,0,Wallet,C024,Motorcycle,3.2,29,25,33,5,U0749,Delivered,,1
ORD00318,3/8/2025 21:38,Minya ,El-Mahatta,Farag Kebab,Grills,2,264 EGP,29,Card,C006,Motorcycle,2.4,17,25,39,5,U0370,Delivered,,1
ORD02038,1/9/2025 17:55,New Minya,New Minya,Slice Minya,Pizza,6,EGP 480,0,Card,C043,Motorcycle,8.5,20,40,47,4,U0688,Delivered,,1
ORD03015,3/25/2025 14:25, Minya,Wast El-Balad,Basbousa Bar,Desserts,2,EGP 121,0,Wallet,C073,Motorcycle,2.2,11,25,16,4,U0239,Delivered,,1
ORD02847,5/15/2025 12:41,El Minya,Wast El-Balad,El-Nil Fish,Fish,6,EGP 933,0,Card,C091,Motorcycle,2.4,21,25,16,4,U0654,Delivered,,1
ORD01656,3/9/2025 19:55,Minya,El-Gamaa,Om Ali House,Desserts,6,291 EGP,0,Card,C042,Tuk-tuk,6.5,11,35,41,5,U0302,Delivered,,1
ORD03496,18/04/2025 13:05,Menia,Shalaby,Hadouta Masreya,Egyptian,5,171,0,Cash,C073,Bicycle,5,12,30,40,4,U1142,Delivered,,1
ORD02328,3/17/2025 17:39,Menia,Wast El-Balad,Hadouta Masreya,Egyptian,2,EGP 102,15,Cash,C072,Bicycle,1,19,25,,,U0972,Cancelled,,
ORD02475,10/3/2025 17:21,minya,Wast El-Balad,Foul El-Mahatta,Egyptian,5,EGP 284,0,Cash,C075,Bicycle,3.7,14,30,,,U1379,Cancelled,,
ORD03051,2/22/2025 13:45, Minya,Shalaby,Bites Burger,Burgers,2,204,13,Cash,C031,Bicycle,3.4,13,30,33,5,U0665,Delivered,,0
ORD03454,4/13/2025 19:02,Minya,Corniche El-Nil,Tamara Sweets,Desserts,6,EGP 311,0,Wallet,C110,Bicycle,1.1,15,25,,,U0034,Cancelled,address unclear,
ORD01164,9/1/2025 18:44,minya,Wast El-Balad,Hadouta Masreya,Egyptian,2,99,0,Cash,C069,Bicycle,2.1,16,25,28,,U0706,Delivered,,0
ORD03119,14/05/2025 14:09,El Minya,Wast El-Balad,Om Ali House,Desserts,1,EGP 77,0,Card,C040,Motorcycle,2.2,8,25,11,5,U0122,Delivered,,0
ORD02724,14/03/2025 21:56,Minya,Ard Sultan,Farag Kebab,Grills,2,387,88,Cash,C071,Bicycle,3.2,19,25,56,2,U1011,Delivered,,0
